SA2_NAME_2011,QI_INDICATOR
Yarralumla,Poor
Banks,Poor
Bonython,Poor
Calwell,Poor
Chisholm,Poor
Conder,Poor
Fadden,Poor
Gilmore,Poor
Gordon (ACT),Poor
Gowrie (ACT),Poor
Greenway,Good
Isabella Plains,Poor
Kambah,Good
Macarthur,Poor
Monash,Poor
Mount Taylor,Poor
Oxley (ACT),Poor
Richardson,Poor
Theodore,Poor
Tuggeranong,Poor
Wanniassa,Acceptable
Chapman,Poor
Duffy,Poor
Fisher,Poor
Holder,Poor
Rivett,Poor
Stirling,Poor
Waramanga,Poor
Weston,Poor
Chifley,Poor
Curtin,Poor
Farrer,Poor
Garran,Poor
Hughes,Poor
Isaacs,Poor
Lyons (ACT),Poor
Mawson,Poor
O'Malley,Poor
Pearce,Poor
Phillip,Poor
Torrens,Poor
Christmas Island,Good
Cocos (Keeling) Islands,Good
Jervis Bay,Poor
Goulburn - Yass,Good
Queanbeyan,Good
Snowy Mountains,Good
South Coast,Good
Gosford,Good
Wyong,Good
Bathurst,Good
Lachlan Valley,Good
Lithgow - Mudgee,Good
Orange,Good
Clarence Valley,Good
Coffs Harbour,Good
Bourke - Cobar - Coonamble,Good
Broken Hill and Far West,Good
Dubbo,Good
Lower Hunter,Good
Maitland,Acceptable
Port Stephens,Good
Upper Hunter,Good
Dapto - Port Kembla,Good
Kiama - Shellharbour,Good
Wollongong,Good
Great Lakes,Good
Kempsey - Nambucca,Good
Port Macquarie,Good
Taree - Gloucester,Good
Albury,Good
Lower Murray,Good
Upper Murray exc. Albury,Good
Armidale,Good
Inverell - Tenterfield,Good
Moree - Narrabri,Good
Tamworth - Gunnedah,Good
Lake Macquarie - East,Acceptable
Lake Macquarie - West,Acceptable
Newcastle,Good
Richmond Valley - Coastal,Good
Richmond Valley - Hinterland,Good
Tweed Valley,Good
Griffith - Murrumbidgee (West),Good
Tumut - Tumbarumba,Good
Wagga Wagga,Good
Shoalhaven,Good
Southern Highlands,Good
Baulkham Hills,Acceptable
Dural - Wisemans Ferry,Acceptable
Hawkesbury,Poor
Rouse Hill - McGraths Hill,Poor
Blacktown,Good
Blacktown - North,Acceptable
Mount Druitt,Good
Botany,Poor
Marrickville - Sydenham - Petersham,Acceptable
Sydney Inner City,Good
Eastern Suburbs - North,Good
Eastern Suburbs - South,Good
Bankstown,Good
Canterbury,Good
Hurstville,Good
Kogarah - Rockdale,Good
Canada Bay,Good
Leichhardt,Good
Strathfield - Burwood - Ashfield,Good
Chatswood - Lane Cove,Good
Hornsby,Acceptable
Ku-ring-gai,Good
North Sydney - Mosman,Good
Manly,Acceptable
Pittwater,Good
Warringah,Good
Camden,Acceptable
Campbelltown (NSW),Good
Wollondilly,Acceptable
Blue Mountains,Good
Penrith,Good
Richmond - Windsor,Poor
St Marys,Good
Carlingford,Good
Merrylands - Guildford,Acceptable
Parramatta,Poor
Pennant Hills - Epping,Acceptable
Ryde - Hunters Hill,Good
Bringelly - Green Valley,Good
Fairfield,Good
Liverpool,Good
Cronulla - Miranda - Caringbah,Good
Sutherland - Menai - Heathcote,Good
Ballarat,Good
Creswick - Daylesford - Ballan,Acceptable
Maryborough - Pyrenees,Acceptable
Bendigo,Good
Heathcote - Castlemaine - Kyneton,Acceptable
Loddon - Elmore,Poor
Barwon - West,Acceptable
Geelong,Good
Surf Coast - Bellarine Peninsula,Good
Upper Goulburn Valley,Good
Wangaratta - Benalla,Good
Wodonga - Alpine,Good
Baw Baw,Good
Gippsland - East,Good
Gippsland - South West,Good
Latrobe Valley,Good
Wellington,Good
Brunswick - Coburg,Acceptable
Darebin - South,Good
Essendon,Acceptable
Melbourne City,Good
Port Phillip,Good
Stonnington - West,Good
Yarra,Good
Boroondara,Good
Manningham - West,Good
Whitehorse - West,Good
Bayside,Good
Glen Eira,Good
Kingston,Good
Stonnington - East,Acceptable
Banyule,Acceptable
Darebin - North,Good
Nillumbik - Kinglake,Acceptable
Whittlesea - Wallan,Good
Keilor,Good
Macedon Ranges,Good
Moreland - North,Acceptable
Sunbury,Good
Tullamarine - Broadmeadows,Good
Knox,Good
Manningham - East,Acceptable
Maroondah,Good
Whitehorse - East,Good
Yarra Ranges,Good
Cardinia,Good
Casey - North,Acceptable
Casey - South,Acceptable
Dandenong,Good
Monash,Good
Brimbank,Acceptable
Hobsons Bay,Good
Maribyrnong,Acceptable
Melton - Bacchus Marsh,Acceptable
Wyndham,Good
Frankston,Good
Mornington Peninsula,Good
Grampians,Good
Murray River - Swan Hill,Good
Campaspe,Good
Moira,Good
Shepparton,Good
Glenelg - Southern Grampians,Good
Warrnambool - Otway Ranges,Good
Capalaba,Good
Cleveland - Stradbroke,Good
Wynnum - Manly,Good
Bald Hills - Everton Park,Poor
Sandgate,Acceptable
Carindale,Good
Holland Park - Yeronga,Acceptable
Mt Gravatt,Acceptable
Nathan,Poor
Rocklea - Acacia Ridge,Good
Centenary,Good
Kenmore - Brookfield - Moggill,Good
Sherwood - Indooroopilly,Acceptable
The Gap - Enoggera,Poor
Brisbane Inner,Acceptable
Brisbane Inner - East,Acceptable
Brisbane Inner - North,Acceptable
Brisbane Inner - West,Good
Cairns - North,Poor
Cairns - South,Acceptable
Innisfail - Cassowary Coast,Acceptable
Port Douglas - Daintree,Good
Tablelands (East) - Kuranda,Good
Darling Downs (West) - Maranoa,Good
Darling Downs - East,Good
Granite Belt,Good
Central Highlands (Qld),Acceptable
Gladstone - Biloela,Good
Rockhampton,Good
Broadbeach - Burleigh,Good
Coolangatta,Good
Gold Coast - North,Poor
Gold Coast Hinterland,Poor
Mudgeeraba - Tallebudgera,Poor
Nerang,Acceptable
Ormeau - Oxenford,Good
Robina,Good
Surfers Paradise,Good
Forest Lake - Oxley,Acceptable
Ipswich Hinterland,Acceptable
Ipswich Inner,Good
Springfield - Redbank,Good
Beenleigh,Acceptable
Browns Plains,Acceptable
Loganlea - Carbrook,Good
Springwood - Kingston,Good
Bowen Basin - North,Good
Mackay,Good
Whitsunday,Good
Bribie - Beachmere,Acceptable
Caboolture,Acceptable
Caboolture Hinterland,Acceptable
Narangba - Burpengary,Acceptable
Redcliffe,Good
North Lakes,Good
Strathpine,Poor
Far North,Acceptable
Outback - North,Good
Outback - South,Good
Buderim,Good
Caloundra,Good
Maroochy,Acceptable
Nambour - Pomona,Acceptable
Noosa,Acceptable
Sunshine Coast Hinterland,Acceptable
Toowoomba,Good
Charters Towers - Ayr - Ingham,Good
Townsville,Good
Bundaberg,Good
Burnett,Good
Gympie - Cooloola,Good
Hervey Bay,Good
Maryborough,Acceptable
Adelaide City,Good
Adelaide Hills,Good
Burnside,Poor
Campbelltown (SA),Acceptable
Norwood - Payneham - St Peters,Acceptable
Prospect - Walkerville,Good
Unley,Acceptable
Gawler - Two Wells,Good
Playford,Good
Port Adelaide - East,Good
Salisbury,Good
Tea Tree Gully,Good
Holdfast Bay,Acceptable
Marion,Acceptable
Mitcham,Acceptable
Onkaparinga,Good
Charles Sturt,Acceptable
Port Adelaide - West,Acceptable
West Torrens,Acceptable
Barossa,Good
Lower North,Good
Mid North,Good
Yorke Peninsula,Good
Eyre Peninsula and South West,Good
Outback - North and East,Good
Fleurieu - Kangaroo Island,Good
Limestone Coast,Good
Murray and Mallee,Good
Augusta - Margaret River - Busselton,Good
Bunbury,Good
Manjimup,Good
Mandurah,Good
Cottesloe - Claremont,Good
Perth City,Acceptable
Bayswater - Bassendean,Good
Mundaring,Acceptable
Swan,Acceptable
Joondalup,Good
Stirling,Good
Wanneroo,Good
Belmont - Victoria Park,Good
Canning,Poor
Gosnells,Acceptable
Kalamunda,Good
Serpentine - Jarrahdale,Good
South Perth,Good
Cockburn,Acceptable
Kwinana,Good
Melville,Good
Rockingham,Good
Gascoyne,Good
Goldfields,Good
Kimberley,Good
Mid West,Good
Pilbara,Good
Albany,Good
Wheat Belt - North,Good
Wheat Belt - South,Good
Brighton,Acceptable
Hobart - North East,Good
Hobart - North West,Good
Hobart - South and West,Good
Hobart Inner,Good
Sorell - Dodges Ferry,Good
Launceston,Good
Meander Valley - West Tamar,Good
North East,Good
Central Highlands (Tas.),Poor
Huon - Bruny Island,Good
South East Coast,Acceptable
Burnie - Ulverstone,Acceptable
Devonport,Good
West Coast,Acceptable
Darwin Suburbs,Good
Litchfield,Acceptable
Palmerston,Good
Alice Springs,Good
Daly - Tiwi - West Arnhem,Poor
Belconnen,Good
Cotter - Namadgi,Poor
Fyshwick - Pialligo - Hume,Poor
Gungahlin,Good
North Canberra,Good
South Canberra,Good
Tuggeranong,Good
Weston Creek,Good
Woden,Good
Capital Region,Good
Central Coast,Good
Central West,Good
Coffs Harbour - Grafton,Good
Far West and Orana,Good
Hunter Valley exc Newcastle,Good
Illawarra,Good
Mid North Coast,Good
New England and North West,Good
Newcastle and Lake Macquarie,Good
Richmond - Tweed,Good
Riverina,Good
Southern Highlands and Shoalhaven,Good
Sydney - Baulkham Hills and Hawkesbury,Acceptable
Sydney - Blacktown,Good
Sydney - City and Inner South,Good
Sydney - Eastern Suburbs,Good
Sydney - Inner South West,Good
Sydney - Inner West,Good
Sydney - North Sydney and Hornsby,Good
Sydney - Northern Beaches,Good
Sydney - Outer South West,Good
Sydney - Outer West and Blue Mountains,Good
Sydney - Parramatta,Good
Sydney - Ryde,Good
Sydney - South West,Good
Sydney - Sutherland,Good
Hume,Good
Latrobe - Gippsland,Good
Melbourne - Inner,Good
Melbourne - Inner East,Good
Melbourne - Inner South,Good
Melbourne - North East,Good
Melbourne - North West,Good
Melbourne - Outer East,Good
Melbourne - South East,Good
Melbourne - West,Good
North West,Good
Warrnambool and South West,Good
Brisbane - East,Good
Brisbane - North,Good
Brisbane - South,Good
Brisbane - West,Acceptable
Brisbane Inner City,Good
Cairns,Good
Darling Downs - Maranoa,Good
Gold Coast,Good
Ipswich,Good
Logan - Beaudesert,Good
Moreton Bay - North,Good
Moreton Bay - South,Acceptable
Queensland - Outback,Good
Sunshine Coast,Good
Wide Bay,Good
Adelaide - Central and Hills,Good
Adelaide - North,Good
Adelaide - South,Good
Adelaide - West,Good
Barossa - Yorke - Mid North,Good
South Australia - Outback,Good
South Australia - South East,Good
Perth - Inner,Good
Perth - North East,Good
Perth - North West,Good
Perth - South East,Good
Perth - South West,Good
Western Australia - Outback,Good
Western Australia - Wheat Belt,Good
Hobart,Good
Launceston and North East,Good
South East,Acceptable
West and North West,Good
Darwin,Good
Northern Territory - Outback,Good
Australian Capital Territory,Good
Other Territories,Acceptable
